100001|1|01/05/2026 10:30:00|850500.000|0.000
100002|2|02/05/2026 11:45:00|420250.000|21012.500
100003|1|02/05/2026 14:20:00|1250000.000|62500.000
100004|3|03/05/2026 09:15:00|650300.000|32515.000
100005|4|03/05/2026 16:50:00|320150.000|0.000
100006|5|04/05/2026 08:30:00|750800.000|37540.000
100007|2|04/05/2026 12:10:00|580400.000|29020.000
100008|1|04/05/2026 15:45:00|920600.000|46030.000
100009|6|05/05/2026 10:20:00|480250.000|24012.500
100010|7|05/05/2026 13:35:00|290150.000|0.000
127401|5|04/05/2026 11:38:05|80000.000|20000.000
118604|5|05/05/2026 11:07:12|154400.000|38600.000
